OBJECTID,LAND,BEZ,LOR,STRASSE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,USTRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
197083,11,1,1022206,LÅneburger Stra·e,2019,7,18,1,3,0,1,0,1,0,0,0,0,0,0,7955481954,5828216292,1335722,5252372
197084,11,3,3061228,Erich-Weinert-Stra·e,2019,7,14,1,3,3,6,0,0,1,0,0,0,1,0,8007900151,5830910548,1343669,52545
197085,11,2,2030302,Lausitzer Platz,2019,7,1,1,3,9,1,2,0,1,0,0,0,0,1,8015094438,58260464,1344285,5250101
197086,11,1,1011402,Arkonaplatz,2019,7,1,1,3,0,1,2,1,0,0,0,0,0,1,7986078043,5829323334,1340318,5253198
197087,11,2,2030301,Oranienplatz,2019,7,21,1,2,0,3,1,0,1,0,1,0,0,0,8002895097,5826088005,1342497,5250205
197088,11,2,2040702,Weberwiese,2019,7,19,1,3,0,7,0,0,0,0,0,0,1,0,8016470807,5827378443,1344608,5251287
197089,11,5,5020521,Dîberitzer Weg,2019,7,18,1,3,2,6,0,0,1,0,0,0,0,0,7793899003,5827854182,1311938,5252899
197090,11,8,8010118,Silbersteinstra·e,2019,7,17,1,3,6,4,0,0,0,1,1,0,0,0,8007748543,5822723867,1342907,5247163
197091,11,10,10040933,Mahlsdorf SÅd,2019,7,10,1,3,8,1,0,0,1,0,0,0,0,0,8124777397,5824289712,1360227,5247909
197092,11,1,1044203,Leopoldplatz,2019,7,20,1,3,6,4,1,1,0,1,0,0,0,0,7954278027,5831588456,1335845,5255401
197093,11,12,12214424,Scharnweberstra·e,2019,7,13,7,3,0,3,0,0,1,0,1,0,0,0,793181943,5832323757,1332607,5256182
197094,11,2,2040703,Wriezener Bahnhof/Entwicklungsgebiet,2019,7,15,7,3,0,1,0,0,1,0,0,0,0,1,801960401,5826795384,1345016,5250747
197095,11,9,9010302,SpÑthsfelde,2019,7,3,7,2,9,1,1,0,0,0,1,0,0,0,803212383,5820965844,1346325,5245453
197096,11,4,4030931,Breitscheidplatz,2019,7,0,7,3,3,6,2,0,1,0,0,0,0,0,7938901265,5826058785,1333094,5250527
197097,11,6,6040810,Dahlem,2019,7,18,7,3,3,6,0,1,1,0,0,0,0,1,7910197981,5819936301,1328343,5245192
197098,11,7,7010104,Dennewitzplatz,2019,7,23,7,3,6,4,2,0,1,1,0,0,0,1,7961271245,5824955359,1336283,5249417
197099,11,7,7070704,Nahariyastra·e,2019,7,22,7,2,0,2,2,0,1,0,1,0,0,1,8001697914,5814070015,1341242,5239439
197100,11,10,10030724,Oberfeldstra·e,2019,7,21,7,3,5,2,2,1,1,0,0,0,0,1,8095648133,582802268,1356299,5251421
197101,11,8,8010213,Kîrnerpark,2019,7,21,7,3,6,2,1,0,1,1,0,0,0,1,8015385928,5823017209,1344054,5247384
197102,11,2,2030301,Oranienplatz,2019,7,19,7,3,5,7,0,0,1,0,1,0,0,0,7998707862,5826248182,1341897,5250372
197103,11,9,9020802,Kîllnische Vorstadt,2019,7,18,7,2,5,7,0,0,1,0,0,0,0,0,8105853352,5819897073,1357041,5244081
197104,11,1,1011301,CharitÇviertel,2019,7,17,7,3,6,2,0,0,1,1,0,0,0,0,797320976,5829005401,1338398,5252983
197105,11,6,6010206,Stadtpark,2019,7,16,7,3,2,6,0,1,1,0,0,0,0,1,7949475572,5819474287,1334066,5244568
197106,11,1,1033102,Gesundbrunnen,2019,7,16,7,3,1,5,0,0,1,0,0,0,0,1,797257927,5831878711,1338562,5255562
197107,11,7,7010104,Dennewitzplatz,2019,7,15,7,3,0,1,0,0,1,0,1,0,0,1,7962390451,5824311294,133639,5248834
197108,11,1,1044101,Rehberge,2019,7,14,7,3,5,3,0,1,1,0,0,0,0,1,7937929793,5832163694,1333491,5256005
197109,11,12,12224230,Heiligensee,2019,7,14,7,3,2,6,0,0,1,0,0,0,0,0,785492957,5837398507,1321732,526114
197110,11,6,6040701,Wannsee,2019,7,14,7,3,6,4,0,0,1,1,0,0,0,0,7818542043,5815270002,1314498,5241489
197111,11,5,5010207,Darbystra·e,2019,7,13,7,3,5,2,0,0,1,0,1,0,0,0,7835752,5830201053,1318292,5254787
197112,11,5,5010103,Amorbacher Weg,2019,7,13,7,3,5,3,0,0,1,0,0,0,0,0,783907128,5831176626,1318863,5255645
197113,11,11,11030721,RÅdigerstra·e,2019,7,13,7,3,0,1,0,1,0,0,0,0,0,0,8036158329,5828336249,1347588,5252036
197114,11,7,7010104,Dennewitzplatz,2019,7,12,7,3,5,2,0,1,1,0,0,0,0,0,7961645486,5824370482,1336286,5248891
197115,11,8,8010404,Rixdorf,2019,7,12,7,3,5,2,0,0,1,0,0,0,0,0,8021697127,5823374504,1345013,5247669
197116,11,4,4051654,Wilhelmsaue,2019,7,11,7,3,2,3,0,0,1,0,0,0,0,0,7933537601,5823652018,1332095,5248399
197117,11,6,6040810,Dahlem,2019,7,8,7,3,0,2,0,1,1,0,0,0,0,0,7909691417,5820706189,1328336,5245885
197118,11,1,1022106,Elberfelder Stra·e,2019,7,7,7,3,6,2,0,0,1,1,0,0,0,0,794572771,5828357256,1334301,5252551
197119,11,4,4030930,George-Grosz-Platz,2019,7,10,7,3,3,6,0,1,1,0,0,0,0,0,7932016485,5825616068,1332044,5250168
197120,11,9,9010401,Johannisthal West,2019,7,12,7,3,2,6,0,0,1,0,0,0,1,0,8062944957,5820737415,1350825,5245076
197121,11,10,10040933,Mahlsdorf SÅd,2019,7,8,6,2,5,3,0,1,1,0,0,0,0,1,8124424382,5824756206,1360219,524833
197122,11,4,4030931,Breitscheidplatz,2019,7,14,6,3,1,5,0,0,1,0,0,0,0,0,7939194245,5825656487,1333102,5250165
